TEG,Round,Hole,PAR,SI,DM,GW,JB,SN,AB,JP
TEG XIII,R2,8,3,12,3,4,3,0,3,3
TEG XIII,R2,9,4,8,8,6,5,0,5,6
TEG XIII,R2,10,4,13,4,5,4,0,7,4
TEG XIII,R2,11,5,5,5,5,8,0,7,6
TEG XIII,R2,12,4,11,5,4,5,0,6,4
TEG XIII,R2,13,4,3,5,4,4,0,5,6
TEG XIII,R2,14,3,17,4,4,3,0,5,6
TEG XIII,R2,15,5,1,6,5,8,0,7,8
TEG XIII,R2,16,3,7,4,3,5,0,5,4
TEG XIII,R2,17,4,15,5,5,4,0,6,8
TEG XIII,R2,18,4,9,4,5,3,0,6,7
TEG XIII,R3,1,4,18,5,4,4,0,6,4
TEG XIII,R3,2,4,4,4,7,5,0,8,4
TEG XIII,R3,3,4,10,5,7,4,0,6,5
TEG XIII,R3,4,4,2,5,4,4,0,5,3
TEG XIII,R3,5,5,16,7,7,6,0,5,6
TEG XIII,R3,6,3,8,4,3,3,0,4,5
TEG XIII,R3,7,5,14,6,5,6,0,5,6
TEG XIII,R3,8,4,12,4,4,4,0,7,4
TEG XIII,R3,9,3,6,4,3,2,0,5,4
TEG XIII,R3,10,4,1,5,5,4,0,6,4
TEG XIII,R3,11,4,13,5,6,4,0,5,4
TEG XIII,R3,12,4,5,6,4,5,0,7,6
TEG XIII,R3,13,4,9,6,4,6,0,5,4
TEG XIII,R3,14,3,11,6,3,4,0,3,4
TEG XIII,R3,15,4,17,5,6,4,0,5,4
TEG XIII,R3,16,4,3,6,4,5,0,6,4
TEG XIII,R3,17,3,7,3,5,3,0,4,7
TEG XIII,R3,18,5,15,6,5,6,0,8,5
TEG XIII,R4,1,4,6,4,4,5,0,4,6
TEG XIII,R4,2,5,12,5,6,5,0,5,3
TEG XIII,R4,3,3,16,5,4,4,0,5,6
TEG XIII,R4,4,4,4,4,4,4,0,6,5
TEG XIII,R4,5,3,18,3,4,3,0,4,4
TEG XIII,R4,6,4,14,4,7,5,0,5,6
TEG XIII,R4,7,4,2,5,5,5,0,4,5
TEG XIII,R4,8,5,8,7,7,6,0,7,6
TEG XIII,R4,9,4,10,5,6,5,0,4,6
TEG XIII,R4,10,4,3,9,5,7,0,4,5
TEG XIII,R4,11,3,15,4,5,4,0,4,3
TEG XIII,R4,12,5,13,7,5,5,0,5,8
TEG XIII,R4,13,4,1,4,4,4,0,5,4
TEG XIII,R4,14,4,5,5,5,4,0,6,6
TEG XIII,R4,15,5,9,6,5,6,0,7,9
TEG XIII,R4,16,4,17,4,4,6,0,5,5
TEG XIII,R4,17,3,11,5,4,2,0,4,4
TEG XIII,R4,18,4,7,6,5,5,0,5,6
TEG XIV,R1,1,4,12,7,4,4,0,7,8
TEG XIV,R1,2,4,8,5,7,4,0,4,6
TEG XIV,R1,3,5,4,6,8,4,0,6,5
TEG XIV,R1,4,3,18,5,4,3,0,5,6
TEG XIV,R1,5,5,2,4,7,5,0,8,4
TEG XIV,R1,6,4,14,5,6,5,0,6,6
